"","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","mpg.1","cyl.1","disp.1","hp.1","drat.1","wt.1","qsec.1","vs.1","am.1","gear.1","carb.1"
"AMC Javelin",2.72129542785223,2.07944154167984,5.71702770140622,5.01063529409626,1.14740245283754,1.23401692567431,2.85070650150373,-Inf,-Inf,1.09861228866811,0.693147180559945,2.72129542785223,2.07944154167984,5.71702770140622,5.01063529409626,1.14740245283754,1.23401692567431,2.85070650150373,-Inf,-Inf,1.09861228866811,0.693147180559945
"Camaro Z28",2.58776403522771,2.07944154167984,5.85793315448346,5.50125821054473,1.31640823365572,1.34547236659964,2.73501664933202,-Inf,-Inf,1.09861228866811,1.38629436111989,2.58776403522771,2.07944154167984,5.85793315448346,5.50125821054473,1.31640823365572,1.34547236659964,2.73501664933202,-Inf,-Inf,1.09861228866811,1.38629436111989
"Pontiac Firebird",2.95491027903374,2.07944154167984,5.99146454710798,5.16478597392351,1.12492959698548,1.34677360295761,2.83615020372953,-Inf,-Inf,1.09861228866811,0.693147180559945,2.95491027903374,2.07944154167984,5.99146454710798,5.16478597392351,1.12492959698548,1.34677360295761,2.83615020372953,-Inf,-Inf,1.09861228866811,0.693147180559945
"Fiat X1-9",3.30688670219091,1.38629436111989,4.36944785246702,4.18965474202643,1.40609698841607,0.660107326481745,2.9391619220656,0,0,1.38629436111989,0,3.30688670219091,1.38629436111989,4.36944785246702,4.18965474202643,1.40609698841607,0.660107326481745,2.9391619220656,0,0,1.38629436111989,0
"Porsche 914-2",3.25809653802148,1.38629436111989,4.78998862298063,4.51085950651685,1.48839958405704,0.76080582903376,2.81540871942271,-Inf,0,1.6094379124341,0.693147180559945,3.25809653802148,1.38629436111989,4.78998862298063,4.51085950651685,1.48839958405704,0.76080582903376,2.81540871942271,-Inf,0,1.6094379124341,0.693147180559945
"Lotus Europa",3.41444260841218,1.38629436111989,4.55492896955134,4.72738781871234,1.32707500145992,0.414094434806219,2.82731362192903,0,0,1.6094379124341,0.693147180559945,3.41444260841218,1.38629436111989,4.55492896955134,4.72738781871234,1.32707500145992,0.414094434806219,2.82731362192903,0,0,1.6094379124341,0.693147180559945
"Ford Pantera L",2.76000994003292,2.07944154167984,5.86078622346587,5.57594910314632,1.43983512804792,1.15373158788919,2.67414864942653,-Inf,0,1.6094379124341,1.38629436111989,2.76000994003292,2.07944154167984,5.86078622346587,5.57594910314632,1.43983512804792,1.15373158788919,2.67414864942653,-Inf,0,1.6094379124341,1.38629436111989
"Ferrari Dino",2.98061863574394,1.79175946922805,4.97673374242057,5.16478597392351,1.28647402583768,1.01884732019925,2.7408400239252,-Inf,0,1.6094379124341,1.79175946922805,2.98061863574394,1.79175946922805,4.97673374242057,5.16478597392351,1.28647402583768,1.01884732019925,2.7408400239252,-Inf,0,1.6094379124341,1.79175946922805
"Maserati Bora",2.70805020110221,2.07944154167984,5.70711026474888,5.81413053182507,1.26412672714568,1.27256559579155,2.68102152871429,-Inf,0,1.6094379124341,2.07944154167984,2.70805020110221,2.07944154167984,5.70711026474888,5.81413053182507,1.26412672714568,1.27256559579155,2.68102152871429,-Inf,0,1.6094379124341,2.07944154167984
"Volvo 142E",3.06339092202781,1.38629436111989,4.79579054559674,4.69134788222914,1.41342302850814,1.02245092770255,2.92316158071916,0,0,1.38629436111989,0.693147180559945,3.06339092202781,1.38629436111989,4.79579054559674,4.69134788222914,1.41342302850814,1.02245092770255,2.92316158071916,0,0,1.38629436111989,0.693147180559945
